Index,Residual,Domain
0,0,
1,0,3
2,0,3
3,0,2
4,0,3
5,0,2
6,0,3
7,0,2
8,0,3
9,0,3
10,0,3
11,0,2
12,0,3
13,0,2
14,0,3
15,0,3
16,0,3
17,0,3
18,0,2
19,0,3
20,0,3
21,0,2
22,0,3
23,0,2
24,0,2
25,0,3
26,0,2
27,0,3
28,0,2
29,0,3
30,0,2
31,0,3
32,0,3
33,0,3
34,0,3
35,0,3
36,0,3
37,0,2
38,0,3
39,0,3
40,0,3
41,0,3
42,0,3
43,0,2
44,0,3
45,0,4
46,0,4
47,0,2
48,0,3
49,0,2
50,0,3
51,0,3
52,0,3
53,0,3
54,0,3
55,0,3
56,0,3
57,0,3
58,0,2
59,0,3
60,0,3
61,0,3
62,0,2
63,0,3
64,0,2
65,0,3
66,0,3
67,0,3
68,0,3
69,0,2
70,0,3
71,0,2
72,0,3
73,0,3
74,0,2
75,0,3
76,0,2
77,0,2
78,0,2
79,0,3
80,0,3
81,0,3
82,0,3
83,0,3
84,0,2
85,0,3
86,0,2
87,0,2
88,0,3
89,0,2
90,0,4
91,0,2
92,0,2
93,0,2
94,0,2
95,0,3
96,0,4
97,0,3
98,0,3
99,0,3
100,0,3
101,0,3
102,0,3
103,0,3
104,0,3
105,0,3
106,0,3
107,0,3
108,0,3
109,0,3
110,0,3
111,0,2
112,0,3
113,0,4
114,0,3
115,0,3
116,0,2
117,0,3
118,0,3
119,0,3
120,0,4
121,0,2
122,0,3
123,0,2
124,0,3
125,0,2
126,0,3
127,0,2
128,0,3
129,0,3
130,0,2
131,0,2
132,0,3
133,0,2
134,0,2
135,0,2
136,0,3
137,0,3
138,0,4
139,0,3
140,0,3
141,0,3
142,0,2
143,0,3
144,0,3
145,0,3
146,0,2
147,0,3
148,0,2
149,0,3
150,0,2
151,0,3
152,0,2
153,0,4
154,0,2
155,0,2
156,0,3
157,0,2
158,0,2
159,0,3
160,0,3
161,0,3
162,0,2
163,0,3
164,0,3
165,0,2
166,0,3
167,0,4
168,0,2
169,0,3
170,0,3
171,0,3
172,0,3
173,0,3
174,0,3
175,0,3
176,0,3
177,0,3
178,0,3
179,0,3
180,0,2
181,0,3
182,0,2
183,0,3
184,0,3
185,0,2
186,0,3
187,0,3
188,0,3
189,0,3
190,0,3
191,0,2
192,0,3
193,0,3
194,0,3
195,0,2
196,0,4
197,0,2
198,0,3
199,0,3
200,0,3
201,0,3
202,0,4
203,0,3
204,0,3
205,0,3
206,0,2
